Table;SQL-column;Excel-column;Type;Area;Db number;Offset;Size
KUVA_PERUS;KUVA_YVAL_VAL0;Ylävalssin tunnus;STRING;S7AreaDB;602;2;20
KUVA_PERUS;KUVA_AVAL_VAL0;Alavalssin tunnus;STRING;S7AreaDB;602;24;20
KUVA_PERUS;KUVA_PIKA_VAL0;Valssin käsittely;STRING;S7AreaDB;602;46;20
KUVA_PERUS;KUVA_KARH_VAL0;Valssin karheus;REAL;S7AreaDB;602;68;
KUVA_PERUS;AC1_KUVA_YVHA_VAL0;Ylävalssin halkaisija;REAL;S7AreaDB;602;76;
KUVA_PERUS;AC1_KUVA_AVHA_VAL0;Alavalssin halkaisija;REAL;S7AreaDB;602;76;
KUVA_PERUS;AC1_KUVA_YVBO_VAL0;Ylävalssin bombeeraus;REAL;S7AreaDB;602;88;
KUVA_PERUS;AC1_KUVA_AVBO_VAL0;Alavalssin bombeeraus;REAL;S7AreaDB;602;88;
KUVA_PERUS;KUVA_KUPA_VAL0;Kustannuspaikka;STRING;S7AreaDB;602;92;20
KUVA_PERUS;AC1_KUVA_TYNO_VAL0;Työnro;INTEGER;S7AreaDB;602;0;
KUVA_PERUS;KUVA_TILS_VAL0;Tilaus;STRING;S7AreaDB;602;114;20
KUVA_PERUS;KUVA_TIJA_VAL0;Tilaaja;STRING;S7AreaDB;602;136;20
KUVA_PERUS;KUVA_TINI_VAL0;Tilaajan nimi;STRING;S7AreaDB;602;158;20
KUVA_PERUS;KUVA_TPVM_VAL0;Tilauspvm;STRING;S7AreaDB;602;180;20
KUVA_PERUS;KUVA_LAJA_VAL0;Laatija;STRING;S7AreaDB;602;202;20
KUVA_PERUS;KUVA_LPVM_VAL0;Laatimispvm;STRING;S7AreaDB;602;224;20
KUVA_PERUS;KUVA_HYVA_VAL0;Hyväksyjä;STRING;S7AreaDB;602;246;20
KUVA_PERUS;KUVA_HPVM_VAL0;Hyväksymispvm;STRING;S7AreaDB;602;268;20
KUVA_PERUS;KUVA_VMAT_VAL0;Materiaaliryhmä;STRING;S7AreaDB;602;312;20
KUVA_PERUS;KUVA_MALA_VAL0;Materiaalilaji;STRING;S7AreaDB;602;224;20
KUVA_PERUS;KUVA_AINO_VAL0;Aihionro;STRING;S7AreaDB;602;334;20
KUVA_PERUS;KUVA_AIKS_VAL0;Aihiokäsittely;STRING;S7AreaDB;602;356;20
KUVA_PERUS;AC1_KUVA_AIPA_VAL0;Aihion paksuus;REAL;S7AreaDB;602;378;
KUVA_PERUS;AC1_KUVA_AILE_VAL0;Aihion leveys;REAL;S7AreaDB;602;382;
KUVA_PERUS;AC1_KUVA_AIPI_VAL0;Aihion pituus;REAL;S7AreaDB;602;386;
KUVA_PERUS;AC1_KUVA_AIPO_VAL0;Aihion paino;REAL;S7AreaDB;602;390;
KUVA_PERUS;AC1_KUVA_LOPA_VAL0;Lopetuspaksuus;REAL;S7AreaDB;602;394;
KUVA_PERUS;AC1_KUVA_KULT_VAL0;Kammiouunin lämpötila;REAL;S7AreaDB;602;402;
KUVA_PERUS;AC1_KUVA_KUAI_VAL0;Hehkutusaika;REAL;S7AreaDB;602;398;
KUVA_PERUS;AC1_KUVA_PILU_VAL0;Pistojen lkm;INTEGER;S7AreaDB;602;406;
KUVA_PERUS;KUVA_VKOM_VAL0;Kommentti;STRING;S7AreaDB;602;410;80
